sample_id,L_entrench,C_entrench,Cul_share,Sem_dist,Map_corr,D_reg,D_trans,CA_score,CA_level
pilot_307,0.411,0.7146,0.8,0.6412,0.4,0.6102,0.5206,0.5699,3
pilot_308,0.7723,0.6722,0.6,0.9291,0.8,0.6978,0.8646,0.7728,4
pilot_309,0.0013,0.007,0.2,0.8007,0.4,0.0433,0.6003,0.294,2
pilot_310,0.8878,0.7198,1.0,0.1479,0.2,0.843,0.174,0.5419,3
pilot_311,0.8167,0.6439,0.8,0.8014,1.0,0.7442,0.9007,0.8146,5
pilot_312,0.4607,0.749,0.4,0.4538,1.0,0.5639,0.7269,0.6372,4
pilot_313,0.1953,0.3941,0.8,0.3255,0.4,0.3958,0.3628,0.3809,2
pilot_314,0.0756,0.1746,0.4,0.5708,0.2,0.1801,0.3854,0.2725,2
pilot_315,0.5272,0.5364,0.2,0.5842,0.2,0.4654,0.3921,0.4324,3
pilot_316,0.9705,0.6056,0.6,0.9403,0.8,0.7504,0.8702,0.8043,5
pilot_317,0.1704,0.9816,0.8,0.951,0.6,0.6208,0.7755,0.6904,4
pilot_318,0.8953,0.4755,0.6,0.5541,0.6,0.6683,0.5771,0.6272,4
pilot_319,0.6,0.5135,1.0,0.9289,1.0,0.6454,0.9644,0.789,4
pilot_320,0.3577,0.3947,0.4,0.6939,0.6,0.381,0.6469,0.5007,3
pilot_321,0.4646,0.5408,0.8,0.6026,1.0,0.5622,0.8013,0.6698,4
pilot_322,0.3285,0.2626,0.2,0.8798,1.0,0.2764,0.9399,0.575,3
pilot_323,0.945,0.5298,0.6,0.8974,1.0,0.7099,0.9487,0.8174,5
pilot_324,0.3906,0.5063,1.0,0.5804,0.4,0.5588,0.4902,0.5279,3
pilot_325,0.9414,0.1412,1.0,0.6069,0.8,0.633,0.7034,0.6647,4
pilot_326,0.3895,0.3481,0.4,0.7726,1.0,0.375,0.8863,0.6051,4
pilot_327,0.3003,0.5916,0.6,0.7628,0.6,0.4768,0.6814,0.5688,3
pilot_328,0.7333,0.7486,0.4,0.5249,0.8,0.6728,0.6624,0.6681,4
pilot_329,0.3493,0.3198,0.2,0.6951,1.0,0.3076,0.8476,0.5506,3
pilot_330,0.0242,0.3058,0.8,0.3457,0.4,0.292,0.3728,0.3284,2
pilot_331,0.7358,0.9935,1.0,0.2723,0.6,0.8917,0.4362,0.6867,4
pilot_332,0.6259,0.239,0.4,0.1024,0.8,0.426,0.4512,0.4373,3
pilot_333,0.0278,0.4343,0.2,0.4787,0.8,0.2248,0.6394,0.4114,3
pilot_334,0.3385,0.5596,0.4,0.625,0.4,0.4392,0.5125,0.4722,3
pilot_335,0.9086,0.9147,1.0,0.9645,1.0,0.9293,0.9822,0.9531,5
pilot_336,0.2224,0.7922,1.0,0.6749,1.0,0.6058,0.8374,0.7101,4
pilot_337,0.1333,0.3145,0.4,0.4173,0.4,0.2591,0.4086,0.3264,2
pilot_338,0.1073,0.4282,0.8,0.6622,0.6,0.3742,0.6311,0.4898,3
pilot_339,0.2232,0.7854,0.4,0.3045,0.4,0.4834,0.3522,0.4244,3
pilot_340,0.1427,0.8155,0.4,0.5042,0.8,0.4633,0.6521,0.5482,3
pilot_341,0.528,0.1145,0.8,0.2452,0.2,0.417,0.2226,0.3295,2
pilot_342,0.599,0.5673,0.8,0.6528,0.4,0.6265,0.5264,0.5815,3
pilot_343,0.151,0.0561,0.4,0.0891,0.2,0.1628,0.1446,0.1546,1
pilot_344,0.6002,0.4297,0.4,0.1719,0.4,0.492,0.286,0.3993,2
pilot_345,0.5345,0.1389,0.8,0.2825,0.4,0.4294,0.3412,0.3897,2
pilot_346,0.5382,0.956,1.0,0.4217,0.8,0.7977,0.6108,0.7136,4
pilot_347,0.1711,0.6541,0.6,0.1325,0.6,0.4501,0.3662,0.4124,3
pilot_348,0.3604,0.8706,0.6,0.4197,0.6,0.6124,0.5098,0.5663,3
pilot_349,0.6267,0.9425,0.4,0.6989,0.8,0.7077,0.7494,0.7265,4
pilot_350,0.1625,0.1112,0.4,0.4268,0.8,0.1895,0.6134,0.3802,2
pilot_351,0.4806,0.6047,0.6,0.4835,1.0,0.5541,0.7418,0.6386,4
pilot_352,0.3497,0.8598,0.8,0.4328,1.0,0.6438,0.7164,0.6765,4
pilot_353,0.5792,0.7377,0.6,0.4584,0.2,0.6468,0.3292,0.5039,3
pilot_354,0.7123,0.7458,0.6,0.4872,1.0,0.7032,0.7436,0.7214,4
pilot_355,0.4188,0.7754,0.4,0.5035,1.0,0.5577,0.7517,0.645,4
pilot_356,0.8894,0.0892,0.4,0.0139,0.2,0.4714,0.107,0.3074,2
pilot_357,0.4295,0.2686,1.0,0.5377,0.4,0.4792,0.4688,0.4746,3
pilot_358,0.8089,0.9523,1.0,0.0885,0.4,0.9045,0.2442,0.6074,4
pilot_359,0.1891,0.1175,0.2,0.5146,0.4,0.1626,0.4573,0.2952,2
pilot_360,0.9327,0.9288,1.0,0.2284,0.8,0.9446,0.5142,0.7509,4
pilot_361,0.1763,0.5731,0.4,0.2482,0.2,0.3798,0.2241,0.3097,2
pilot_362,0.2897,0.1079,0.6,0.425,0.2,0.279,0.3125,0.2941,2
pilot_363,0.929,0.9772,1.0,0.6243,1.0,0.9625,0.8121,0.8948,5
pilot_364,0.3776,0.3632,0.2,0.5907,0.6,0.3363,0.5954,0.4529,3
pilot_365,0.4498,0.9283,0.6,0.7763,0.8,0.6712,0.7882,0.7238,4
pilot_366,0.1804,0.788,0.6,0.7768,0.8,0.5074,0.7884,0.6338,4
pilot_367,0.2619,0.4604,1.0,0.3449,0.4,0.4889,0.3724,0.4365,3
pilot_368,0.8332,0.2075,0.6,0.3041,0.6,0.5363,0.452,0.4984,3
pilot_369,0.7916,0.0692,0.4,0.1906,0.4,0.4243,0.2953,0.3663,2
pilot_370,0.7922,0.5784,0.8,0.9225,1.0,0.7082,0.9612,0.8221,5
pilot_371,0.8592,0.826,1.0,0.6174,1.0,0.8741,0.8087,0.8447,5
pilot_372,0.6452,0.9624,0.6,0.0437,0.2,0.763,0.1219,0.4745,3
pilot_373,0.7548,0.6252,0.8,0.7044,0.8,0.712,0.7522,0.7301,4
pilot_374,0.9584,0.405,0.4,0.2362,0.4,0.6254,0.3181,0.4871,3
pilot_375,0.2398,0.0085,0.2,0.064,0.4,0.1393,0.232,0.181,1
pilot_376,0.9019,0.9834,0.8,0.5003,0.4,0.9141,0.4502,0.7053,4
pilot_377,0.2862,0.2471,0.4,0.3371,0.2,0.2933,0.2686,0.2822,2
pilot_378,0.9729,0.4599,0.4,0.2048,0.6,0.6531,0.4024,0.5403,3
pilot_379,0.1518,0.473,0.8,0.4606,0.6,0.4099,0.5303,0.4641,3
pilot_380,0.7775,0.3683,1.0,0.87,0.8,0.6583,0.835,0.7378,4
pilot_381,0.4575,0.3779,0.8,0.512,0.6,0.4942,0.556,0.522,3
pilot_382,0.7044,0.4129,0.6,0.3817,0.6,0.5669,0.4908,0.5327,3
pilot_383,0.5133,0.6132,0.8,0.0466,0.8,0.6106,0.4233,0.5263,3
pilot_384,0.2994,0.4122,0.4,0.8438,0.8,0.3646,0.8219,0.5704,3
pilot_385,0.6898,0.4318,1.0,0.4588,1.0,0.6486,0.7294,0.685,4
pilot_386,0.1366,0.9375,0.4,0.5281,0.4,0.5096,0.464,0.4891,3
pilot_387,0.0539,0.0733,1.0,0.332,0.4,0.2509,0.366,0.3027,2
pilot_388,0.3327,0.778,0.4,0.6011,0.6,0.5243,0.6005,0.5586,3
pilot_389,0.502,0.5068,1.0,0.2446,0.8,0.6035,0.5223,0.567,3
pilot_390,0.6929,0.5523,0.8,0.2694,0.4,0.6581,0.3347,0.5126,3
pilot_391,0.3777,0.3484,1.0,0.0029,0.2,0.4904,0.1015,0.3154,2
pilot_392,0.8137,0.5474,0.4,0.9886,0.2,0.6244,0.5943,0.6109,4
pilot_393,0.9969,0.4068,1.0,0.0622,0.8,0.7615,0.4311,0.6128,4
pilot_394,0.9385,0.9245,0.4,0.6614,1.0,0.8252,0.8307,0.8277,5
pilot_395,0.9758,0.3758,0.4,0.3505,0.6,0.6206,0.4752,0.5552,3
pilot_396,0.0148,0.1785,0.6,0.0559,1.0,0.1973,0.528,0.3461,2
pilot_397,0.6785,0.7371,0.8,0.6813,0.4,0.7262,0.5407,0.6427,4
pilot_398,0.0205,0.179,0.8,0.6159,0.8,0.2398,0.708,0.4505,3
pilot_399,0.6877,0.7108,0.8,0.4568,0.6,0.7194,0.5284,0.6335,4
pilot_400,0.975,0.9028,1.0,0.5637,1.0,0.9511,0.7818,0.8749,5
pilot_401,0.9887,0.9744,1.0,0.9002,0.8,0.9852,0.8501,0.9244,5
pilot_402,0.6231,0.6358,0.8,0.9846,0.8,0.6636,0.8923,0.7665,4
pilot_403,0.0668,0.2471,0.2,0.7636,0.6,0.1656,0.6818,0.3979,2
pilot_404,0.3628,0.01,0.8,0.1122,0.2,0.3091,0.1561,0.2403,2
pilot_405,0.9053,0.5284,0.8,0.0061,0.6,0.7335,0.303,0.5398,3
pilot_406,0.0969,0.0645,0.4,0.0286,0.2,0.1446,0.1143,0.1309,1
pilot_407,0.6844,0.5215,0.2,0.4513,0.6,0.5224,0.5256,0.5238,3
pilot_408,0.9846,0.7075,0.8,0.1145,0.8,0.8368,0.4572,0.666,4
pilot_409,0.7682,0.0267,0.4,0.8878,0.4,0.398,0.6439,0.5086,3
pilot_410,0.5057,0.2107,0.6,0.4454,0.6,0.4066,0.5227,0.4588,3
pilot_411,0.7538,0.3365,1.0,0.9494,1.0,0.6361,0.9747,0.7885,4
pilot_412,0.9281,0.4178,1.0,0.547,0.6,0.7384,0.5735,0.6642,4
pilot_413,0.998,0.7799,0.8,0.6033,1.0,0.8712,0.8016,0.8399,5
pilot_414,0.3784,0.7776,0.8,0.4102,0.4,0.6224,0.4051,0.5246,3
pilot_415,0.4297,0.2804,0.6,0.1012,0.2,0.404,0.1506,0.29,2
pilot_416,0.1673,0.1765,0.2,0.1534,0.8,0.1775,0.4767,0.3122,2
pilot_417,0.1345,0.01,0.2,0.4077,0.4,0.0978,0.4039,0.2355,2
pilot_418,0.7536,0.1414,0.4,0.5449,0.8,0.438,0.6724,0.5435,3
pilot_419,0.6847,0.5166,0.4,0.3503,0.2,0.5605,0.2752,0.4321,3
pilot_420,0.0775,0.3638,0.4,0.8369,0.8,0.2565,0.8184,0.5094,3
pilot_421,0.1985,0.7063,0.6,0.0082,0.2,0.4819,0.1041,0.3119,2
pilot_422,0.3519,0.3789,0.4,0.39,0.2,0.3723,0.295,0.3375,2
pilot_423,0.8569,0.4037,0.6,0.7613,0.8,0.6242,0.7807,0.6946,4
pilot_424,0.3214,0.617,0.2,0.9602,0.8,0.4154,0.8801,0.6245,4
pilot_425,0.9815,0.8728,0.8,0.8137,0.8,0.9017,0.8069,0.859,5
pilot_426,0.884,0.7676,0.2,0.6929,0.8,0.7006,0.7465,0.7213,4
pilot_427,0.0181,0.1179,0.6,0.4885,0.8,0.1744,0.6442,0.3858,2
pilot_428,0.296,0.1537,0.6,0.7179,0.6,0.2999,0.6589,0.4615,3
pilot_429,0.2017,0.3046,0.4,0.7592,1.0,0.2825,0.8796,0.5512,3
pilot_430,0.12,0.0302,0.8,0.4478,0.4,0.2201,0.4239,0.3118,2
pilot_431,0.4273,0.8541,0.2,0.2018,0.6,0.5526,0.4009,0.4843,3
pilot_432,0.7366,0.2461,0.6,0.3282,0.4,0.5131,0.3641,0.446,3
pilot_433,0.1078,0.6176,0.8,0.3382,0.8,0.4502,0.5691,0.5037,3
pilot_434,0.2325,0.8317,0.4,0.2192,0.8,0.5057,0.5096,0.5074,3
pilot_435,0.7034,0.9759,1.0,0.4166,1.0,0.8717,0.7083,0.7982,4
pilot_436,0.7415,0.3761,0.8,0.5866,0.6,0.607,0.5933,0.6009,4
pilot_437,0.6456,0.3549,0.4,0.4479,0.4,0.4802,0.424,0.4549,3
pilot_438,0.9166,0.6743,1.0,0.9226,1.0,0.8364,0.9613,0.8926,5
pilot_439,0.5028,0.65,0.8,0.3516,0.4,0.6211,0.3758,0.5107,3
pilot_440,0.3046,0.1382,0.2,0.9673,0.4,0.2171,0.6837,0.4271,3
pilot_441,0.5428,0.5616,0.2,0.6167,0.6,0.4818,0.6083,0.5387,3
pilot_442,0.2565,0.5784,0.6,0.2407,0.2,0.454,0.2204,0.3488,2
pilot_443,0.3662,0.2406,0.8,0.7589,0.6,0.4027,0.6794,0.5272,3
pilot_444,0.4,0.92,0.8,0.6341,1.0,0.688,0.8171,0.7461,4
pilot_445,0.6735,0.4898,1.0,0.4777,1.0,0.6653,0.7388,0.6984,4
pilot_446,0.4961,0.4163,1.0,0.5745,0.6,0.565,0.5873,0.575,3
pilot_447,0.1494,0.2162,0.2,0.1195,0.4,0.1862,0.2598,0.2193,2
pilot_448,0.0675,0.9097,1.0,0.9327,0.2,0.5909,0.5664,0.5798,3
pilot_449,0.569,0.1064,0.8,0.5628,0.8,0.4302,0.6814,0.5432,3
pilot_450,0.7311,0.6435,0.8,0.3614,0.2,0.7098,0.2807,0.5167,3
pilot_451,0.279,0.5961,0.8,0.4797,0.8,0.51,0.6398,0.5685,3
pilot_452,0.8836,0.9101,1.0,0.9415,0.8,0.9175,0.8708,0.8965,5
pilot_453,0.4045,0.9895,1.0,0.8492,0.6,0.7576,0.7246,0.7428,4
pilot_454,0.4591,0.6512,0.6,0.584,1.0,0.5641,0.792,0.6667,4
pilot_455,0.4881,0.7015,0.8,0.3716,1.0,0.6358,0.6858,0.6583,4
pilot_456,0.6823,0.5107,0.2,0.4093,0.4,0.5172,0.4046,0.4666,3
pilot_457,0.7525,0.362,0.4,0.0005,0.4,0.5258,0.2002,0.3793,2
pilot_458,0.1628,0.6437,0.6,0.0364,0.2,0.4426,0.1182,0.2966,2
pilot_459,0.3638,0.8757,1.0,0.7803,0.8,0.6958,0.7902,0.7383,4
pilot_460,0.1085,0.1372,0.4,0.2998,0.2,0.1783,0.2499,0.2105,2
pilot_461,0.4397,0.3673,0.4,0.3034,0.6,0.4028,0.4517,0.4248,3
pilot_462,0.423,0.8517,1.0,0.8316,0.4,0.7099,0.6158,0.6675,4
pilot_463,0.4251,0.3127,0.6,0.9168,0.6,0.4151,0.7584,0.5696,3
pilot_464,0.7015,0.922,0.6,0.5092,0.2,0.7694,0.3546,0.5827,3
pilot_465,0.8649,0.9953,0.4,0.8239,0.2,0.8241,0.512,0.6836,4
pilot_466,0.9423,0.9275,0.8,0.9024,1.0,0.9079,0.9512,0.9274,5
pilot_467,0.376,0.3528,0.2,0.9772,0.2,0.3315,0.5886,0.4472,3
pilot_468,0.8993,0.2185,0.4,0.3399,0.6,0.5271,0.47,0.5014,3
pilot_469,0.3527,0.6427,0.2,0.7862,0.4,0.4382,0.5931,0.5079,3
pilot_470,0.6991,0.9718,1.0,0.1267,0.6,0.8684,0.3634,0.6411,4
pilot_471,0.2447,0.4123,0.8,0.8139,0.8,0.4228,0.807,0.5957,3
pilot_472,0.3341,0.7822,0.6,0.0219,0.2,0.5665,0.111,0.3615,2
pilot_473,0.5572,0.2948,0.6,0.1436,1.0,0.4608,0.5718,0.5108,3
pilot_474,0.1013,0.6349,0.2,0.1298,0.4,0.3345,0.2649,0.3032,2
pilot_475,0.3946,0.0226,0.2,0.165,0.4,0.2069,0.2825,0.2409,2
pilot_476,0.8859,0.968,1.0,0.9263,1.0,0.9416,0.9632,0.9513,5
pilot_477,0.2581,0.993,0.8,0.8939,1.0,0.6604,0.947,0.7894,4
pilot_478,0.4424,0.7726,0.6,0.4273,0.2,0.606,0.3136,0.4744,3
pilot_479,0.7464,0.8504,0.8,0.5851,0.8,0.7987,0.6926,0.7509,4
pilot_480,0.864,0.9131,0.8,0.3594,0.8,0.8708,0.5797,0.7398,4
pilot_481,0.974,0.2156,1.0,0.9153,0.8,0.6758,0.8576,0.7577,4
pilot_482,0.3024,0.124,0.6,0.069,0.2,0.2906,0.1345,0.2203,2
pilot_483,0.2721,0.5222,0.8,0.5205,0.2,0.4777,0.3602,0.4249,3
pilot_484,0.0413,0.0796,0.6,0.9023,0.2,0.1684,0.5512,0.3406,2
pilot_485,0.5862,0.4232,0.6,0.2791,0.2,0.5238,0.2396,0.3959,2
pilot_486,0.8919,0.2583,0.4,0.2003,1.0,0.5401,0.6002,0.5671,3
pilot_487,0.9544,0.4514,0.6,0.9635,1.0,0.6823,0.9818,0.8171,5
pilot_488,0.449,0.1991,0.8,0.2376,0.2,0.4192,0.2188,0.329,2
pilot_489,0.941,0.1863,0.4,0.8405,0.8,0.5309,0.8202,0.6611,4
pilot_490,0.2683,0.5831,0.2,0.2928,0.2,0.3806,0.2464,0.3202,2
pilot_491,0.3153,0.0588,0.8,0.9583,1.0,0.3096,0.9792,0.6109,4
pilot_492,0.5931,0.8392,0.2,0.8568,0.8,0.6129,0.8284,0.7099,4
pilot_493,0.2485,0.2457,0.6,0.4859,0.4,0.3177,0.443,0.3741,2
pilot_494,0.0935,0.376,0.6,0.7681,0.4,0.3078,0.584,0.4321,3
pilot_495,0.9988,0.7797,0.8,0.1798,0.2,0.8714,0.1899,0.5647,3
pilot_496,0.1622,0.0239,0.4,0.9712,0.8,0.1544,0.8856,0.4835,3
pilot_497,0.2653,0.3843,0.4,0.463,0.8,0.3398,0.6315,0.4711,3
pilot_498,0.9021,0.6455,0.6,0.8373,0.4,0.739,0.6186,0.6849,4
pilot_499,0.6739,0.9741,1.0,0.4799,1.0,0.8592,0.74,0.8055,5
pilot_500,0.1048,0.1672,0.6,0.0611,0.2,0.2288,0.1306,0.1846,1
